City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Arraial Do Cabo,BR,85.86,clear sky,-22.9661,-42.0278,Pousada Porto Praia
1,Rikitea,PF,77.18,broken clouds,-23.1203,-134.9692,People ThankYou
4,East London,ZA,76.14,clear sky,-33.0153,27.9116,Tu Casa
8,Aquiraz,BR,89.69,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
10,Georgetown,MY,83.95,heavy intensity rain,5.4112,100.3354,Cititel Penang
15,Buckeye,US,79.2,clear sky,33.3703,-112.5838,Buckeye Motor Hotel
22,Hithadhoo,MV,82.63,overcast clouds,-0.6,73.0833,Scoop Guest House
32,Uthal,PK,84.33,clear sky,25.8072,66.6219,Al-Mustafa Hotel
33,Tiarei,PF,77.02,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
36,Atuona,PF,78.91,clear sky,-9.8,-139.0333,Villa Enata
37,Bengkulu,ID,77.49,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
38,Jalu,LY,80.94,clear sky,29.0331,21.5482,صاحبة الفخامة
41,Kerema,PG,79.02,light rain,-7.9631,145.7785,Frena Lodge
46,Kavieng,PG,81.59,light rain,-2.5744,150.7967,Nusa Island Retreat
51,Carnarvon,AU,75.2,clear sky,-24.8667,113.6333,Hospitality Carnarvon
60,Mahebourg,MU,77.29,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
64,Avarua,CK,78.85,light rain,-21.2078,-159.775,Paradise Inn
66,Butaritari,KI,81.37,light rain,3.0707,172.7902,Isles Sunset Lodge
68,Poum,NC,77.13,clear sky,-20.2333,164.0167,
72,Ewa Beach,US,75.15,light rain,21.3156,-158.0072,Base Lodging
83,Lorengau,PG,80.67,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
84,Bambanglipuro,ID,79.38,overcast clouds,-7.95,110.2833,Puri Brata
87,Lazaro Cardenas,MX,82.54,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
90,Acapulco,MX,84.87,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
96,Havelock,US,83.95,overcast clouds,34.8791,-76.9013,Sherwood Motel
99,Bonthe,SL,88.07,light rain,7.5264,-12.505,Bonthe Holiday Village
100,Saint-Philippe,RE,76.59,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
102,San Patricio,US,82.29,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
103,Buala,SB,79.99,scattered clouds,-8.145,159.5921,Maringe Lagoon Lodge
107,Avera,US,81.55,overcast clouds,33.194,-82.5271,
111,Banda Aceh,ID,77.4,moderate rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
112,Abu Samrah,SY,86.13,few clouds,35.3029,37.1841,
116,Manokwari,ID,79.07,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
118,Anton Lizardo,MX,85.21,broken clouds,19.05,-95.9833,Hotel CocoAventura
131,Pyay,MM,79.47,scattered clouds,18.8167,95.2167,Shwe Pyi Thar
132,San Cristobal,VE,83.08,scattered clouds,7.7669,-72.225,Pirineos
134,Kasangulu,CD,79.86,moderate rain,-4.5911,15.1708,Hôtel le Relais
136,Kasaragod,IN,78.84,overcast clouds,12.5,75.0,Thalathoor Heritage
137,Meulaboh,ID,75.52,moderate rain,4.1363,96.1285,Kost Pria
146,Dillon,US,83.14,broken clouds,34.4166,-79.3712,Dillon Express Inn
149,Dingle,PH,78.13,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
151,Baijiantan,CN,76.1,overcast clouds,45.6333,85.1833,
154,Takoradi,GH,85.66,broken clouds,4.8845,-1.7554,Raybow International Hotel
158,Palmas Bellas,PA,83.25,overcast clouds,9.2319,-80.0867,Antigua Residencia Galván
161,Souillac,MU,77.38,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
164,Paracuru,BR,88.11,broken clouds,-3.41,-39.0306,Hotel Vento Brasil
165,Sao Joao Da Barra,BR,78.87,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
168,Cabedelo,BR,82.56,broken clouds,-6.9811,-34.8339,Hotel Pigalle
169,Faanui,PF,81.07,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
174,Providencia,MX,75.2,overcast clouds,28.7167,-111.5833,
176,Tubuala,PA,83.71,overcast clouds,9.5167,-79.0333,Río Nabagana
178,Mulatupo,PA,84.81,broken clouds,8.9492,-77.7652,Playa Dil
