City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Arraial Do Cabo,BR,-22.9661,-42.0278,85.86,58,0,13.8,clear sky
1,Rikitea,PF,-23.1203,-134.9692,77.18,77,84,16.06,broken clouds
2,Busselton,AU,-33.65,115.3333,57.22,73,33,10.4,scattered clouds
3,Bend,US,44.0582,-121.3153,41.99,70,0,5.01,clear sky
4,East London,ZA,-33.0153,27.9116,76.14,60,0,4.61,clear sky
5,Ahipara,NZ,-35.1667,173.1667,56.01,86,65,6.02,broken clouds
6,Ushuaia,AR,-54.8,-68.3,42.42,75,75,4.61,broken clouds
7,Montlucon,FR,46.3333,2.6,67.69,55,24,7.96,few clouds
8,Aquiraz,BR,-3.9014,-38.3911,89.69,80,80,13.27,broken clouds
9,Hobart,AU,-42.8794,147.3294,62.46,66,75,14.97,broken clouds
10,Georgetown,MY,5.4112,100.3354,83.95,89,20,2.3,heavy intensity rain
11,Yellowknife,CA,62.456,-114.3525,34.32,69,75,19.57,broken clouds
12,Teguldet,RU,57.3064,88.1667,35.29,76,32,8.55,scattered clouds
13,Vaini,TO,-21.2,-175.2,73.56,78,20,8.05,few clouds
14,Ayr,GB,55.4627,-4.6339,58.32,76,40,6.91,scattered clouds
15,Buckeye,US,33.3703,-112.5838,79.2,25,0,0.0,clear sky
16,Mataura,NZ,-46.1927,168.8643,47.48,89,52,2.55,broken clouds
17,Nea Peramos,GR,38.0076,23.423,69.57,59,75,8.05,broken clouds
18,Punta Arenas,CL,-53.15,-70.9167,44.71,76,40,31.07,light rain
19,Castro,BR,-24.7911,-50.0119,70.79,70,89,10.07,moderate rain
20,Karlstad,SE,59.3793,13.5036,50.56,27,20,10.36,few clouds
21,Dudinka,RU,69.4058,86.1778,20.62,97,100,3.58,overcast clouds
22,Hithadhoo,MV,-0.6,73.0833,82.63,77,100,15.17,overcast clouds
23,Provideniya,RU,64.3833,-173.3,18.75,70,16,6.33,few clouds
24,Batemans Bay,AU,-35.7167,150.1833,58.1,81,0,6.73,clear sky
25,Klaksvik,FO,62.2266,-6.589,43.72,92,100,27.87,light rain
26,Bluff,NZ,-46.6,168.3333,47.8,85,92,7.38,overcast clouds
27,Nikolskoye,RU,59.7035,30.7861,45.88,46,84,12.77,broken clouds
28,Nome,US,64.5011,-165.4064,17.67,68,0,0.0,clear sky
29,Norman Wells,CA,65.282,-126.8329,44.64,61,75,9.22,broken clouds
30,Kenai,US,60.5544,-151.2583,42.1,76,99,10.54,overcast clouds
31,Cape Town,ZA,-33.9258,18.4232,69.28,81,0,18.41,clear sky
32,Uthal,PK,25.8072,66.6219,84.33,66,0,14.07,clear sky
33,Tiarei,PF,-17.5333,-149.3333,77.02,80,100,10.16,light rain
34,Khatanga,RU,71.9667,102.5,16.18,95,100,6.98,overcast clouds
35,Cidreira,BR,-30.1811,-50.2056,64.51,93,100,21.61,moderate rain
36,Atuona,PF,-9.8,-139.0333,78.91,79,10,17.18,clear sky
37,Bengkulu,ID,-3.8004,102.2655,77.49,87,100,4.0,light rain
38,Jalu,LY,29.0331,21.5482,80.94,24,4,12.26,clear sky
39,Guerrero Negro,MX,27.9769,-114.0611,60.93,74,100,12.37,overcast clouds
40,Kapaa,US,22.0752,-159.319,71.11,92,55,1.99,broken clouds
41,Kerema,PG,-7.9631,145.7785,79.02,88,82,3.56,light rain
42,Altay,CN,47.8667,88.1167,57.16,71,100,4.09,overcast clouds
43,Severo-Kurilsk,RU,50.6789,156.125,34.68,92,100,9.78,overcast clouds
44,Sidi Ali,DZ,36.0998,0.4206,65.52,57,17,11.54,few clouds
45,Upernavik,GL,72.7868,-56.1549,9.18,77,11,9.64,few clouds
46,Kavieng,PG,-2.5744,150.7967,81.59,81,93,6.91,light rain
47,Kamaishi,JP,39.2667,141.8833,43.88,82,28,7.96,scattered clouds
48,Brigantine,US,39.4101,-74.3646,62.02,85,99,13.78,overcast clouds
49,Great Falls,US,47.5002,-111.3008,49.15,72,85,3.0,overcast clouds
50,Lyuban,BY,52.7985,28.0048,58.62,62,80,12.62,broken clouds
51,Carnarvon,AU,-24.8667,113.6333,75.2,58,0,17.78,clear sky
52,Araouane,ML,18.9048,-3.5265,98.38,7,82,4.05,broken clouds
53,Iqaluit,CA,63.7506,-68.5145,11.7,72,6,17.0,clear sky
54,Hilo,US,19.7297,-155.09,72.28,94,100,6.91,moderate rain
55,Saint Anthony,US,45.0205,-93.218,49.1,62,75,10.36,broken clouds
56,Cherskiy,RU,68.75,161.3,19.71,91,82,5.84,broken clouds
57,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,81,75,17.27,broken clouds
58,Qaanaaq,GL,77.484,-69.3632,16.57,65,99,2.59,overcast clouds
59,Ballina,AU,-28.8667,153.5667,63.01,99,27,6.04,scattered clouds
60,Mahebourg,MU,-20.4081,57.7,77.29,83,75,4.61,broken clouds
61,Catamarca,AR,-28.4696,-65.7852,68.58,40,0,1.99,clear sky
62,New Norfolk,AU,-42.7826,147.0587,62.1,58,34,1.99,scattered clouds
